650,1,7,4160,0,0,0,0,0,0,0,1.0000000000,1.0000000,1.000000,0.000,-120.0000,120.000
611,1,3,4160,0,0,170,0,0,80,0
632,1,7,4160,0,0,0,0,0,0,0
6500,1,7,4160,0,0,0,0,0,0,0
633,1,7,4160,0,0,0,0,0,0,0
634,1,7,480,160,120,120,110,90,90,0
645,1,6,4160,0,170,0,0,125,0,0
646,1,6,4160,0,230,0,0,132,0,0
652,1,1,4160,128,0,0,86,0,0,0
671,1,7,4160,385,385,385,220,220,220,0
675,1,7,4160,485,68,290,190,60,212,0
680,1,7,4160,0,0,0,0,0,0,0
684,1,5,4160,0,0,0,0,0,0,0
671,1,7,4160,0,0,170,0,0,151,0
670,1,7,4160,17,66,117,10,38,68,0
675,1,7,4160,0,0,0,-200,-200,-200,0
