index	Dz	rN	bHat	UI
246	-0.0001889290	0.0962904187	0.0962904313	0.0005102868
247	-0.0024738861	0.3081821452	0.3081821458	0.0000645969
248	-0.0017434739	0.3607438734	0.3607438739	0.0000558233
249	-0.0011275204	0.2344658689	0.2344658753	0.0002330039
250	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
251	-0.0003175957	0.1540444532	0.1540444532	0.0000000000
252	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
253	-0.0001101267	0.0651269857	0.0651270955	0.0018357785
254	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
255	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
256	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
257	-0.0002915543	0.1476478209	0.1476478209	0.0000000000
258	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
259	-0.0001182430	0.0677376834	0.0677383918	0.0045733688
260	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
261	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
262	-0.0000396459	0.0438277372	0.0438292814	0.0083946889
263	-0.0002122762	0.1014721957	0.1014749374	0.0073510780
264	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
265	-0.0000639107	0.0691984001	0.0691984001	0.0000000000
266	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
267	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
268	-0.0002709711	0.1426249719	0.1426250146	0.0007734787
269	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
270	-0.0001385915	0.0729623891	0.0729624029	0.0006152892
271	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
272	-0.0000654786	0.0701837962	0.0701844654	0.0043670406
273	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
274	-0.0001018856	0.0875625082	0.0875628020	0.0025906897
275	-0.0001183301	0.0672699473	0.0672700959	0.0021017713
276	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
277	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
278	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
279	-0.0002568674	0.1382680877	0.1382686497	0.0028510700
280	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
281	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
282	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
283	-0.0001800908	0.0939392126	0.0939393139	0.0014683540
284	0.0000650521	0.0617204787	0.0617204787	0.0000000000
285	0.0002121340	0.1115941808	0.1115941808	0.0000000000
286	0.0002577822	0.1231885321	0.1231885321	0.0000000000
287	0.0011537163	0.5714638759	0.5714648417	0.0018384505
288	0.0014149912	0.6326357819	0.6326357914	0.0001734031
289	0.0000607251	0.0293008246	0.0293008551	0.0014443438
290	0.0000146972	0.0146073555	0.0146073556	0.0001350466
291	0.0000074795	0.0104153388	0.0104153388	0.0000000000
292	0.0000694823	0.0320873108	0.0320873108	0.0000000000
293	0.0000175599	0.0161663213	0.0161663258	0.0007470396
294	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
295	0.0000000000	0.0000000000	0.0000000000	0.0000000000
296	0.0000000000	0.0000000000	0.0000000000	0.0000000000
297	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
298	-0.0000000001	0.0000000000	0.0000000000	0.0000000000
299	0.0000000000	0.0000000000	0.0000000000	0.0000000000
300	0.0000000000	0.0000000000	0.0000000000	0.0000000000
301	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
302	-0.0000000001	0.0000000000	0.0000000000	0.0000000000
303	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
304	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
305	0.0000000000	0.0000000000	0.0000000000	0.0000000000
306	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
307	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
308	0.0000000000	0.0000000000	0.0000000000	0.0000000000
309	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
310	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
311	0.0000000000	0.0000000000	0.0000000000	0.0000000000
312	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
313	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
314	0.0000000000	0.0000000000	0.0000000000	0.0000000000
315	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
316	0.0000000000	0.0000000000	0.0000000000	0.0000000000
317	-0.0000000001	0.0000000000	0.0000000000	0.0000000000
318	0.0000000000	0.0000000000	0.0000000000	0.0000000000
319	-0.0000000001	0.0000000000	0.0000000000	0.0000000000
320	0.0000000000	0.0000000000	0.0000000000	0.0000000000
321	-0.0000000001	0.0000000000	0.0000000000	0.0000000000
322	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
323	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
324	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
325	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
326	0.0000000000	0.0000000000	0.0000000000	0.0000000000
327	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
328	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
329	0.0000000000	0.0000000000	0.0000000000	0.0000000000
330	0.0000000001	0.0000000000	0.0000000000	0.0000000000
331	0.0000000001	0.0000000000	0.0000000000	0.0000000000
332	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
333	0.0000000001	0.0000000000	0.0000000000	0.0000000000
334	0.0000000001	0.0000000000	0.0000000000	0.0000000000
335	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
336	0.0000000001	0.0000000000	0.0000000000	0.0000000000
337	0.0000000001	0.0000000000	0.0000000000	0.0000000000
338	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
339	0.0000000000	0.0000000000	0.0000000000	0.0000000000
340	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
341	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
342	0.0000000000	0.0000000000	0.0000000000	0.0000000000
343	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
344	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
345	0.0000000000	0.0000000000	0.0000000000	0.0000000000
346	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
347	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
348	0.0000000000	0.0000000000	0.0000000000	0.0000000000
349	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
350	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
351	0.0000000000	0.0000000000	0.0000000000	0.0000000000
352	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
353	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
354	0.0000000000	0.0000000000	0.0000000000	0.0000000000
355	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
356	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
357	0.0000000000	0.0000000000	0.0000000000	0.0000000000
358	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
359	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
360	0.0000000000	0.0000000000	0.0000000000	0.0000000000
361	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
362	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
363	0.0000000001	0.0000000000	0.0000000000	0.0000000000
364	-0.0000000002	0.0000000000	0.0000000000	0.0000000000
365	0.0000000000	0.0000000000	0.0000000000	0.0000000000
366	0.0000000001	0.0000000000	0.0000000000	0.0000000000
367	-0.0000000002	0.0000000000	0.0000000000	0.0000000000
368	0.0000000000	0.0000000000	0.0000000000	0.0000000000
369	0.0000000001	0.0000000000	0.0000000000	0.0000000000
370	-0.0000000002	0.0000000000	0.0000000000	0.0000000000
371	0.0000000000	0.0000000000	0.0000000000	0.0000000000
372	0.0000000001	0.0000000000	0.0000000000	0.0000000000
373	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
374	0.0000000000	0.0000000000	0.0000000000	0.0000000000
375	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
376	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
377	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
378	0.0000000000	0.0000000000	0.0000000000	0.0000000000
379	0.0000000000	0.0000000000	0.0000000000	0.0000000000
380	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
381	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
382	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
383	0.0000000000	0.0000000000	0.0000000000	0.0000000000
384	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
385	0.0000000001	0.0000000000	0.0000000000	0.0000000000
386	-0.0000000002	0.0000000000	0.0000000000	0.0000000000
387	0.0000000000	0.0000000000	0.0000000000	0.0000000000
388	0.0000000000	0.0000000000	0.0000000000	0.0000000000
389	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
390	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
391	0.0000000000	0.0000000000	0.0000000000	0.0000000000
392	0.0000000000	0.0000000000	0.0000000000	0.0000000000
393	0.0000000000	0.0000000000	0.0000000000	0.0000000000
394	0.0000000000	0.0000000000	0.0000000000	0.0000000000
395	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
396	0.0000000000	0.0000000000	0.0000000000	0.0000000000
397	0.0000000000	0.0000000000	0.0000000000	0.0000000000
398	0.0000000001	0.0000000000	0.0000000000	0.0000000000
399	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
400	0.0000000000	0.0000000000	0.0000000000	0.0000000000
401	0.0000000000	0.0000000000	0.0000000000	0.0000000000
402	0.0000000001	0.0000000000	0.0000000000	0.0000000000
403	0.0000000000	0.0000000000	0.0000000000	0.0000000000
404	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
405	0.0000000000	0.0000000000	0.0000000000	0.0000000000
406	0.0000000000	0.0000000000	0.0000000000	0.0000000000
407	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
408	0.0000000000	0.0000000000	0.0000000000	0.0000000000
409	0.0000000000	0.0000000000	0.0000000000	0.0000000000
410	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
411	0.0000000000	0.0000000000	0.0000000000	0.0000000000
412	0.0000000000	0.0000000000	0.0000000000	0.0000000000
413	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
414	0.0000000000	0.0000000000	0.0000000000	0.0000000000
415	0.0000000000	0.0000000000	0.0000000000	0.0000000000
416	0.0000000002	0.0000000000	0.0000000000	0.0000000000
417	0.0000000000	0.0000000000	0.0000000000	0.0000000000
418	0.0000000002	0.0000000000	0.0000000000	0.0000000000
419	0.0000000000	0.0000000000	0.0000000000	0.0000000000
420	0.0000000002	0.0000000000	0.0000000000	0.0000000000
421	0.0000000000	0.0000000000	0.0000000000	0.0000000000
422	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
423	0.0000000000	0.0000000000	0.0000000000	0.0000000000
424	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
425	0.0000000000	0.0000000000	0.0000000000	0.0000000000
426	0.0000000000	0.0000000000	0.0000000000	0.0000000000
427	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
428	0.0000000000	0.0000000000	0.0000000000	0.0000000000
429	0.0000000000	0.0000000000	0.0000000000	0.0000000000
430	0.0000000001	0.0000000000	0.0000000000	0.0000000000
431	0.0000000000	0.0000000000	0.0000000000	0.0000000000
432	0.0000000000	0.0000000000	0.0000000000	0.0000000000
433	0.0000000001	0.0000000000	0.0000000000	0.0000000000
434	0.0000000000	0.0000000000	0.0000000000	0.0000000000
435	0.0000000000	0.0000000000	0.0000000000	0.0000000000
436	0.0000000001	0.0000000000	0.0000000000	0.0000000000
437	0.0000000000	0.0000000000	0.0000000000	0.0000000000
438	0.0000000000	0.0000000000	0.0000000000	0.0000000000
439	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
440	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
441	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
442	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
443	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
444	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
445	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
446	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
447	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
448	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
449	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
450	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
451	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
452	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
453	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
454	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
455	-0.0000000000	0.0000000000	0.0000000000	0.0000000000
