|Dx|_inf =  0.0000004 	 |Grad|_inf =  1319926919592.3562012 


 Convergência em 3 iteracoes e tempo: 3.6379
Tensoes Nodais: Fase-Terra
Vbase:6350.853	ABC	0	Va: 1.05000 | 0.000 	Vb: 1.05000 | -120.000	Vc: 1.05000 | 120.000
Vbase:240.178	ABC	1	Va: 1.04863 | -30.170 	Vb: 1.04875 | -150.153	Vc: 1.04901 | 89.878
Vbase:240.178	ABC	2	Va: 1.04842 | -30.166 	Vb: 1.04856 | -150.154	Vc: 1.04891 | 89.879
Vbase:240.178	ABC	3	Va: 1.04840 | -30.166 	Vb: 1.04854 | -150.154	Vc: 1.04890 | 89.879
Vbase:240.178	ABC	4	Va: 1.04838 | -30.166 	Vb: 1.04852 | -150.154	Vc: 1.04889 | 89.880
Vbase:240.178	ABC	5	Va: 1.04836 | -30.165 	Vb: 1.04850 | -150.154	Vc: 1.04888 | 89.880
Vbase:240.178	ABC	6	Va: 1.04833 | -30.165 	Vb: 1.04848 | -150.154	Vc: 1.04887 | 89.880
Vbase:240.178	ABC	7	Va: 1.04639 | -30.134 	Vb: 1.04673 | -150.156	Vc: 1.04794 | 89.891
Vbase:240.178	ABC	8	Va: 1.04631 | -30.133 	Vb: 1.04665 | -150.156	Vc: 1.04790 | 89.892
Vbase:240.178	ABC	9	Va: 1.04623 | -30.132 	Vb: 1.04658 | -150.156	Vc: 1.04787 | 89.892
Vbase:240.178	ABC	10	Va: 1.04617 | -30.131 	Vb: 1.04653 | -150.157	Vc: 1.04784 | 89.893
Vbase:240.178	ABC	11	Va: 1.04612 | -30.130 	Vb: 1.04648 | -150.157	Vc: 1.04781 | 89.893
Vbase:240.178	ABC	12	Va: 1.04608 | -30.129 	Vb: 1.04644 | -150.157	Vc: 1.04779 | 89.893
Vbase:240.178	ABC	13	Va: 1.04605 | -30.129 	Vb: 1.04642 | -150.157	Vc: 1.04778 | 89.894
Vbase:240.178	ABC	14	Va: 1.04598 | -30.128 	Vb: 1.04636 | -150.157	Vc: 1.04775 | 89.894
Vbase:240.178	ABC	15	Va: 1.04543 | -30.119 	Vb: 1.04586 | -150.157	Vc: 1.04749 | 89.897
Vbase:240.178	ABC	16	Va: 1.04543 | -30.119 	Vb: 1.04586 | -150.157	Vc: 1.04749 | 89.897
Vbase:240.178	ABC	17	Va: 1.04477 | -30.108 	Vb: 1.04526 | -150.158	Vc: 1.04717 | 89.901
Vbase:240.178	ABC	18	Va: 1.04543 | -30.119 	Vb: 1.04586 | -150.157	Vc: 1.04749 | 89.897
Vbase:240.178	ABC	19	Va: 1.04472 | -30.107 	Vb: 1.04522 | -150.158	Vc: 1.04714 | 89.902
Vbase:240.178	ABC	20	Va: 1.04543 | -30.119 	Vb: 1.04586 | -150.157	Vc: 1.04749 | 89.897
Vbase:240.178	ABC	21	Va: 1.04467 | -30.107 	Vb: 1.04517 | -150.158	Vc: 1.04712 | 89.902
Vbase:240.178	ABC	22	Va: 1.04543 | -30.119 	Vb: 1.04586 | -150.157	Vc: 1.04749 | 89.897
Vbase:240.178	ABC	23	Va: 1.04458 | -30.105 	Vb: 1.04509 | -150.158	Vc: 1.04708 | 89.902
Vbase:240.178	ABC	24	Va: 1.04543 | -30.119 	Vb: 1.04586 | -150.157	Vc: 1.04749 | 89.897
Vbase:240.178	ABC	25	Va: 1.04443 | -30.103 	Vb: 1.04496 | -150.159	Vc: 1.04701 | 89.903
Vbase:240.178	ABC	26	Va: 1.04543 | -30.119 	Vb: 1.04586 | -150.157	Vc: 1.04749 | 89.897
Vbase:240.178	ABC	27	Va: 1.04418 | -30.099 	Vb: 1.04496 | -150.159	Vc: 1.04701 | 89.903
Vbase:240.178	ABC	28	Va: 1.04281 | -30.076 	Vb: 1.04320 | -150.154	Vc: 1.04600 | 89.910
Vbase:240.178	ABC	29	Va: 1.04543 | -30.119 	Vb: 1.04586 | -150.157	Vc: 1.04749 | 89.897
Vbase:240.178	ABC	30	Va: 1.04414 | -30.099 	Vb: 1.04496 | -150.159	Vc: 1.04701 | 89.903
Vbase:240.178	ABC	31	Va: 1.04414 | -30.099 	Vb: 1.04496 | -150.159	Vc: 1.04701 | 89.903
